created_at,total_amount,customer_age,customer_gender,store_location,store_id,checkout_seconds,is_weekend,nlp_processed,nlp_processed_at,nlp_confidence_score,device_id,payment_method,checkout_time,request_type,transcription_text,suggestion_accepted
2025-03-14 19:29:11,363.51,33,Male,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",3,47,False,True,2025-03-14 19:29:16,0.83,DEV-332,gcash,2025-03-14 19:29:13,unsure,One among develop dog your hit throw.,False
2025-01-11 07:32:39,68.39,61,Male,"06285 David Tunnel
South Crystal, WY 51579",2,244,True,True,2025-01-11 07:32:44,0.76,DEV-529,cash,2025-01-11 07:33:37,branded,Appear sell test state them add.,False
2025-05-27 17:04:00,358.04,65,Female,"143 Cuevas Trail
North Teresa, SC 24246",1,144,False,True,2025-05-27 17:04:05,0.72,DEV-738,card,2025-05-27 17:04:36,unbranded,Ball open create.,False
2025-04-03 20:44:30,443.82,35,Other,"37188 Anthony Crossroad
North Kristen, WV 80462",4,95,False,True,2025-04-03 20:44:35,0.79,DEV-108,gcash,2025-04-03 20:45:11,unsure,Under hospital nation structure identify.,False
2025-05-21 23:17:35,168.13,22,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,147,False,True,2025-05-21 23:17:40,0.84,DEV-352,cash,2025-05-21 23:18:08,branded,People relate although.,False
2025-06-08 19:06:55,278.31,55,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",3,251,False,True,2025-06-08 19:07:00,0.87,DEV-755,gcash,2025-06-08 19:07:33,unsure,Meet high like.,True
2025-01-17 03:31:16,426.3,33,Female,"06285 David Tunnel
South Crystal, WY 51579",2,238,False,True,2025-01-17 03:31:21,0.92,DEV-652,gcash,2025-01-17 03:32:15,unsure,Son your responsibility bit reason on.,True
2025-05-14 15:24:44,482.81,62,Female,"06285 David Tunnel
South Crystal, WY 51579",2,275,False,True,2025-05-14 15:24:49,0.7,DEV-711,card,2025-05-14 15:24:50,unbranded,How worker check.,True
2025-03-16 03:44:30,193.11,35,Male,"143 Cuevas Trail
North Teresa, SC 24246",5,146,True,True,2025-03-16 03:44:35,0.77,DEV-700,card,2025-03-16 03:45:16,unsure,Want carry reveal attack throw exactly.,False
2025-06-17 14:09:27,422.92,18,Other,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,211,False,True,2025-06-17 14:09:32,0.85,DEV-315,card,2025-06-17 14:09:33,unbranded,Think democratic group month turn amount which.,True
2025-01-29 12:06:02,491.5,41,Female,"06285 David Tunnel
South Crystal, WY 51579",1,136,False,True,2025-01-29 12:06:07,0.9,DEV-864,gcash,2025-01-29 12:06:12,unsure,Truth three anything by have.,False
2025-05-26 05:42:07,311.81,28,Male,"143 Cuevas Trail
North Teresa, SC 24246",1,120,False,True,2025-05-26 05:42:12,0.74,DEV-220,cash,2025-05-26 05:42:15,unbranded,Writer none kind seek start alone.,True
2025-05-13 00:20:16,339.36,43,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",5,198,False,True,2025-05-13 00:20:21,0.74,DEV-114,card,2025-05-13 00:20:36,unsure,Particular of local nation mouth.,False
2025-03-11 08:36:55,272.6,51,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",4,113,True,True,2025-03-11 08:37:00,0.7,DEV-727,gcash,2025-03-11 08:37:41,unbranded,Scene dinner week style throughout.,False
2025-04-19 12:49:48,221.49,20,Other,"37188 Anthony Crossroad
North Kristen, WV 80462",4,265,True,True,2025-04-19 12:49:53,0.76,DEV-320,card,2025-04-19 12:50:11,branded,Reflect must much trial.,False
2025-01-28 16:33:42,341.26,35,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,249,False,True,2025-01-28 16:33:47,0.84,DEV-288,gcash,2025-01-28 16:34:28,branded,Bad everyone front activity.,True
2025-05-12 11:37:52,69.1,60,Male,"06285 David Tunnel
South Crystal, WY 51579",1,241,False,True,2025-05-12 11:37:57,0.8,DEV-267,cash,2025-05-12 11:37:58,unsure,Put something tonight recent police enter.,True
2025-02-25 22:36:11,389.97,21,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,137,True,True,2025-02-25 22:36:16,0.92,DEV-666,gcash,2025-02-25 22:36:56,branded,Professional need stock down.,True
2025-06-03 14:27:49,315.46,49,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",5,38,True,True,2025-06-03 14:27:54,0.83,DEV-367,card,2025-06-03 14:28:08,unsure,How close practice term.,True
2025-01-03 04:42:46,116.83,61,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,93,False,True,2025-01-03 04:42:51,0.73,DEV-303,gcash,2025-01-03 04:43:31,unbranded,Challenge buy style law would huge.,True
2025-05-21 15:39:00,216.15,51,Other,"143 Cuevas Trail
North Teresa, SC 24246",1,43,False,True,2025-05-21 15:39:05,0.88,DEV-674,card,2025-05-21 15:39:15,unbranded,Boy total provide learn nearly politics able.,False
2025-02-21 19:35:40,214.75,59,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",1,204,False,True,2025-02-21 19:35:45,0.91,DEV-600,cash,2025-02-21 19:35:51,branded,Rise girl truth even no economy.,True
2025-01-06 09:58:19,90.75,53,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,108,True,True,2025-01-06 09:58:24,0.99,DEV-570,card,2025-01-06 09:59:08,unsure,Grow laugh what trade woman order its.,False
2025-05-04 11:37:57,166.04,42,Male,"06285 David Tunnel
South Crystal, WY 51579",2,54,False,True,2025-05-04 11:38:02,0.98,DEV-377,gcash,2025-05-04 11:38:54,unsure,Time thank more support fight ever front.,True
2025-05-06 20:02:18,235.71,59,Other,"143 Cuevas Trail
North Teresa, SC 24246",2,30,True,True,2025-05-06 20:02:23,0.78,DEV-179,gcash,2025-05-06 20:02:54,unbranded,Hit term voice investment close sport.,True
2025-04-25 11:06:16,130.91,25,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",2,281,True,True,2025-04-25 11:06:21,0.86,DEV-111,cash,2025-04-25 11:07:05,branded,Crime should certain seat.,True
2025-04-17 03:47:47,398.86,57,Other,"143 Cuevas Trail
North Teresa, SC 24246",5,232,False,True,2025-04-17 03:47:52,0.76,DEV-651,gcash,2025-04-17 03:48:14,branded,Seek more people whom either push common movie.,True
2025-05-27 08:29:51,371.1,39,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",3,114,False,True,2025-05-27 08:29:56,0.92,DEV-745,card,2025-05-27 08:29:54,unbranded,Wait throughout answer.,True
2025-03-23 22:32:05,436.21,43,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",2,96,False,True,2025-03-23 22:32:10,0.98,DEV-257,card,2025-03-23 22:32:57,unsure,Star between alone real finally.,False
2025-01-31 04:00:04,309.06,42,Other,"143 Cuevas Trail
North Teresa, SC 24246",3,249,False,True,2025-01-31 04:00:09,0.85,DEV-871,cash,2025-01-31 04:00:07,unsure,Democratic reach cause treatment simple decide them.,True
2025-06-18 19:59:09,65.14,39,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,203,False,True,2025-06-18 19:59:14,0.9,DEV-169,card,2025-06-18 19:59:40,unsure,Yard culture himself hot.,True
2025-03-11 15:36:56,73.9,51,Female,"143 Cuevas Trail
North Teresa, SC 24246",3,175,True,True,2025-03-11 15:37:01,0.77,DEV-842,card,2025-03-11 15:37:05,unbranded,National give these that all outside.,False
2025-01-06 02:32:02,469.62,37,Other,"37188 Anthony Crossroad
North Kristen, WV 80462",1,171,True,True,2025-01-06 02:32:07,0.72,DEV-741,cash,2025-01-06 02:32:07,unsure,Marriage decision build go school job.,False
2025-05-25 03:27:27,142.91,28,Male,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",3,86,False,True,2025-05-25 03:27:32,0.71,DEV-443,card,2025-05-25 03:27:44,unsure,Among number factor develop year although news.,True
2025-05-06 01:32:05,453.71,58,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",4,237,True,True,2025-05-06 01:32:10,0.96,DEV-917,cash,2025-05-06 01:32:09,branded,Either culture cut people new sit skin.,True
2025-05-16 05:12:00,323.05,64,Other,"143 Cuevas Trail
North Teresa, SC 24246",5,206,False,True,2025-05-16 05:12:05,0.9,DEV-187,cash,2025-05-16 05:12:22,branded,Next article represent.,True
2025-03-16 16:12:19,398.54,22,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,180,True,True,2025-03-16 16:12:24,0.95,DEV-910,cash,2025-03-16 16:13:11,branded,Yet recognize face could growth future place national.,False
2025-04-03 15:28:48,206.99,38,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",1,75,False,True,2025-04-03 15:28:53,0.84,DEV-507,card,2025-04-03 15:29:07,unbranded,Cost away run stay ever drop first.,False
2025-02-20 18:44:12,112.66,19,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",2,198,True,True,2025-02-20 18:44:17,0.84,DEV-298,card,2025-02-20 18:45:10,unbranded,Yeah piece word appear again work.,True
2025-03-11 02:58:17,320.53,32,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",3,32,True,True,2025-03-11 02:58:22,0.73,DEV-786,gcash,2025-03-11 02:59:06,unbranded,Republican among focus sign result.,True
2025-03-04 22:43:59,329.79,35,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",5,165,False,True,2025-03-04 22:44:04,0.93,DEV-562,card,2025-03-04 22:44:48,branded,Help gun development eye possible.,False
2025-04-17 00:38:08,159.97,37,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,258,False,True,2025-04-17 00:38:13,0.89,DEV-375,card,2025-04-17 00:38:29,unsure,Song wait whether end choice.,True
2025-04-17 00:19:47,455.58,26,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",4,34,False,True,2025-04-17 00:19:52,0.84,DEV-890,cash,2025-04-17 00:20:11,unbranded,Usually senior minute want.,False
2025-05-25 10:37:03,350.25,48,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,77,False,True,2025-05-25 10:37:08,0.77,DEV-642,card,2025-05-25 10:37:08,branded,Learn through Mrs also act end become.,False
2025-04-13 13:53:49,400.39,45,Female,"143 Cuevas Trail
North Teresa, SC 24246",5,234,False,True,2025-04-13 13:53:54,0.94,DEV-570,cash,2025-04-13 13:54:01,unsure,Thing other beautiful hospital tree miss.,False
2025-05-14 01:26:04,401.04,47,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,150,True,True,2025-05-14 01:26:09,0.81,DEV-491,gcash,2025-05-14 01:26:29,unsure,Southern nearly will know former wide.,True
2025-04-10 05:16:19,187.11,23,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",2,206,False,True,2025-04-10 05:16:24,0.95,DEV-840,gcash,2025-04-10 05:17:08,branded,He yet decide bed meet.,True
2025-05-31 11:50:44,203.87,33,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",1,175,True,True,2025-05-31 11:50:49,0.77,DEV-148,card,2025-05-31 11:51:29,unsure,Inside financial individual be beat.,True
2025-04-25 23:13:20,213.47,57,Male,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,177,True,True,2025-04-25 23:13:25,0.87,DEV-838,card,2025-04-25 23:13:44,unsure,Who car must finally reflect one part.,False
2025-01-05 03:44:42,495.07,45,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",5,118,False,True,2025-01-05 03:44:47,0.9,DEV-608,card,2025-01-05 03:44:57,branded,Analysis image its next happen issue fast.,False
2025-02-17 19:26:14,371.08,23,Male,"143 Cuevas Trail
North Teresa, SC 24246",1,216,True,True,2025-02-17 19:26:19,0.98,DEV-669,card,2025-02-17 19:26:16,unsure,Many company really.,True
2025-05-05 01:20:47,150.52,33,Male,"143 Cuevas Trail
North Teresa, SC 24246",3,277,True,True,2025-05-05 01:20:52,0.91,DEV-274,gcash,2025-05-05 01:21:11,branded,Must today senior design force tend individual.,True
2025-05-15 14:49:05,139.66,65,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",5,287,False,True,2025-05-15 14:49:10,0.91,DEV-387,cash,2025-05-15 14:49:26,branded,Real dinner relate sign.,True
2025-05-25 20:26:44,286.63,56,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",3,33,True,True,2025-05-25 20:26:49,0.94,DEV-443,gcash,2025-05-25 20:26:59,unsure,Opportunity speech office both during station.,False
2025-05-29 03:43:11,233.25,56,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,179,False,True,2025-05-29 03:43:16,0.78,DEV-802,gcash,2025-05-29 03:43:18,unbranded,Figure bad friend data store whatever.,False
2025-06-04 08:03:51,170.45,25,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",1,118,True,True,2025-06-04 08:03:56,1.0,DEV-604,card,2025-06-04 08:04:30,unbranded,Wall new five back.,False
2025-06-10 04:45:19,271.93,32,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,294,True,True,2025-06-10 04:45:24,0.96,DEV-221,card,2025-06-10 04:45:30,unbranded,Scene ready movement fast everything save.,False
2025-02-06 04:38:36,51.88,29,Female,"06285 David Tunnel
South Crystal, WY 51579",5,152,False,True,2025-02-06 04:38:41,0.93,DEV-717,gcash,2025-02-06 04:39:00,unsure,Provide school chair four play pretty.,False
2025-04-13 02:12:19,343.28,18,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",2,202,False,True,2025-04-13 02:12:24,0.71,DEV-562,gcash,2025-04-13 02:12:41,branded,Successful gas hot suffer.,True
2025-03-02 15:06:28,136.11,29,Female,"143 Cuevas Trail
North Teresa, SC 24246",1,112,True,True,2025-03-02 15:06:33,0.95,DEV-503,gcash,2025-03-02 15:06:51,branded,Beautiful rise sing approach see.,True
2025-01-13 01:24:40,389.41,41,Male,"06285 David Tunnel
South Crystal, WY 51579",4,226,False,True,2025-01-13 01:24:45,0.95,DEV-415,cash,2025-01-13 01:25:17,unsure,Audience now myself score other.,True
2025-05-17 17:19:27,123.52,32,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",2,59,True,True,2025-05-17 17:19:32,0.8,DEV-718,gcash,2025-05-17 17:20:25,branded,Tree tell open quickly television third.,False
2025-03-03 12:02:31,51.48,49,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",4,241,False,True,2025-03-03 12:02:36,0.85,DEV-186,card,2025-03-03 12:03:28,branded,Audience first yeah oil.,True
2025-03-26 15:07:00,283.09,48,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",5,176,True,True,2025-03-26 15:07:05,0.95,DEV-380,cash,2025-03-26 15:07:12,unsure,Kid approach few great fact another range.,True
2025-04-12 12:26:45,219.71,57,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",2,182,False,True,2025-04-12 12:26:50,0.74,DEV-209,gcash,2025-04-12 12:27:33,unbranded,Minute science face computer money line.,True
2025-01-12 01:20:00,300.6,43,Female,"06285 David Tunnel
South Crystal, WY 51579",1,176,False,True,2025-01-12 01:20:05,0.92,DEV-883,gcash,2025-01-12 01:20:09,unsure,It Republican protect better.,False
2025-05-15 19:44:02,449.1,29,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,82,False,True,2025-05-15 19:44:07,0.8,DEV-822,cash,2025-05-15 19:45:00,branded,Company project final our pay order century question.,False
2025-04-03 01:33:51,238.41,28,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,233,False,True,2025-04-03 01:33:56,0.96,DEV-970,cash,2025-04-03 01:33:55,branded,Term director firm people carry.,True
2025-05-12 09:27:50,226.79,28,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",2,202,False,True,2025-05-12 09:27:55,0.85,DEV-638,card,2025-05-12 09:27:56,unbranded,Water person before the financial gun set.,True
2025-06-19 00:10:15,108.76,21,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",5,149,True,True,2025-06-19 00:10:20,0.85,DEV-920,gcash,2025-06-19 00:10:46,branded,Why or what new reach movie right.,True
2025-05-16 07:51:38,95.44,32,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",4,228,True,True,2025-05-16 07:51:43,0.97,DEV-694,gcash,2025-05-16 07:52:13,unsure,Television hard hope impact occur allow network.,True
2025-04-06 20:22:28,57.94,19,Other,"06285 David Tunnel
South Crystal, WY 51579",4,154,False,True,2025-04-06 20:22:33,0.87,DEV-913,card,2025-04-06 20:22:48,unsure,Beautiful affect heart himself radio dream first.,True
2025-02-07 23:07:33,444.73,65,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,129,True,True,2025-02-07 23:07:38,0.75,DEV-196,cash,2025-02-07 23:08:15,unsure,Raise decision sing guy once.,False
2025-04-20 18:05:20,160.64,24,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",3,94,True,True,2025-04-20 18:05:25,0.81,DEV-247,cash,2025-04-20 18:05:37,unbranded,Bring tax common as sell.,True
2025-03-03 15:10:37,285.45,48,Female,"143 Cuevas Trail
North Teresa, SC 24246",1,56,False,True,2025-03-03 15:10:42,0.8,DEV-905,card,2025-03-03 15:10:51,branded,Require hair pressure partner difference current government.,False
2025-02-24 08:08:44,266.4,48,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",3,155,False,True,2025-02-24 08:08:49,0.89,DEV-478,card,2025-02-24 08:08:45,branded,Drive power whole agree physical make.,False
2025-05-28 15:17:17,159.6,37,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",3,211,False,True,2025-05-28 15:17:22,0.97,DEV-546,card,2025-05-28 15:17:33,branded,There any class view.,False
2025-05-22 12:47:32,178.32,21,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,199,False,True,2025-05-22 12:47:37,0.83,DEV-272,gcash,2025-05-22 12:48:16,branded,Price even enjoy trip.,True
2025-03-12 13:31:44,288.83,52,Male,"143 Cuevas Trail
North Teresa, SC 24246",2,199,True,True,2025-03-12 13:31:49,0.94,DEV-872,cash,2025-03-12 13:32:02,unbranded,Throw activity natural meet bad audience.,True
2025-01-28 04:53:33,340.18,34,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",2,293,True,True,2025-01-28 04:53:38,0.87,DEV-462,gcash,2025-01-28 04:53:58,unsure,Happen there way many cause east.,True
2025-06-01 15:09:21,469.65,50,Other,"143 Cuevas Trail
North Teresa, SC 24246",3,67,True,True,2025-06-01 15:09:26,0.95,DEV-562,cash,2025-06-01 15:10:19,unsure,Thought evening how live win.,True
2025-04-02 19:07:02,249.59,60,Other,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,245,False,True,2025-04-02 19:07:07,0.82,DEV-558,gcash,2025-04-02 19:07:46,unsure,Today already final claim every responsibility.,False
2025-04-26 22:45:49,456.87,18,Other,"06285 David Tunnel
South Crystal, WY 51579",1,157,True,True,2025-04-26 22:45:54,0.92,DEV-136,cash,2025-04-26 22:46:47,unbranded,Begin claim evidence writer may our.,False
2025-05-27 20:30:50,327.68,27,Other,"06285 David Tunnel
South Crystal, WY 51579",5,42,True,True,2025-05-27 20:30:55,0.84,DEV-513,cash,2025-05-27 20:31:19,branded,Fight activity close five people understand.,False
2025-02-27 21:07:18,339.89,59,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,98,False,True,2025-02-27 21:07:23,0.89,DEV-547,card,2025-02-27 21:08:01,unbranded,Police culture share single white tree.,False
2025-04-14 20:27:53,242.64,43,Female,"06285 David Tunnel
South Crystal, WY 51579",5,63,False,True,2025-04-14 20:27:58,0.88,DEV-691,cash,2025-04-14 20:28:12,branded,Town friend poor campaign.,True
2025-06-15 11:14:33,497.06,25,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",1,40,False,True,2025-06-15 11:14:38,0.9,DEV-376,cash,2025-06-15 11:15:13,unbranded,Difficult unit add because everyone maintain future.,False
2025-05-17 04:30:18,419.62,56,Male,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",4,132,True,True,2025-05-17 04:30:23,0.9,DEV-289,card,2025-05-17 04:30:48,branded,Billion just son I story car trouble.,True
2025-05-18 13:53:22,171.72,48,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",5,228,False,True,2025-05-18 13:53:27,0.86,DEV-311,card,2025-05-18 13:53:56,unsure,Painting one middle tonight so civil maintain.,False
2025-05-18 15:21:51,187.2,50,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,167,False,True,2025-05-18 15:21:56,0.95,DEV-163,card,2025-05-18 15:21:52,unsure,Small factor speech improve relationship.,False
2025-04-21 03:20:02,333.14,22,Other,"143 Cuevas Trail
North Teresa, SC 24246",5,58,True,True,2025-04-21 03:20:07,0.92,DEV-676,cash,2025-04-21 03:20:20,unbranded,Claim list your scene.,True
2025-01-03 17:56:58,291.43,38,Other,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",1,114,True,True,2025-01-03 17:57:03,0.72,DEV-617,gcash,2025-01-03 17:57:26,unbranded,But land today improve because.,True
2025-02-25 18:00:06,161.12,36,Female,"06285 David Tunnel
South Crystal, WY 51579",4,297,True,True,2025-02-25 18:00:11,0.75,DEV-676,card,2025-02-25 18:00:56,unbranded,Stock American pick.,False
2025-02-03 21:59:18,314.79,34,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,264,True,True,2025-02-03 21:59:23,0.88,DEV-417,gcash,2025-02-03 21:59:44,branded,Agent after indicate should.,True
2025-05-20 06:36:50,57.17,64,Male,"06285 David Tunnel
South Crystal, WY 51579",1,93,False,True,2025-05-20 06:36:55,0.94,DEV-481,gcash,2025-05-20 06:37:25,unsure,That common past child role low.,False
2025-02-24 03:41:40,409.77,31,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,293,False,True,2025-02-24 03:41:45,0.76,DEV-221,card,2025-02-24 03:42:12,unbranded,Page speech town.,True
2025-06-06 07:35:29,443.91,53,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,128,True,True,2025-06-06 07:35:34,0.85,DEV-784,card,2025-06-06 07:35:48,unsure,Sit their evening member.,False
2025-05-08 07:02:08,364.07,53,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",3,278,False,True,2025-05-08 07:02:13,0.88,DEV-618,card,2025-05-08 07:02:23,unsure,North example despite last professor former often.,False
2025-02-17 17:13:36,165.98,59,Male,"143 Cuevas Trail
North Teresa, SC 24246",1,266,False,True,2025-02-17 17:13:41,0.89,DEV-657,cash,2025-02-17 17:13:50,unbranded,School study soon son blood building thank debate.,True
2025-01-02 00:09:25,397.81,23,Female,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",1,58,False,True,2025-01-02 00:09:30,0.78,DEV-537,card,2025-01-02 00:10:13,unsure,Especially lay two hit important air choice.,False
2025-04-25 12:09:42,292.47,41,Male,"37188 Anthony Crossroad
North Kristen, WV 80462",4,298,True,True,2025-04-25 12:09:47,0.82,DEV-237,card,2025-04-25 12:10:09,unsure,Share majority claim break determine year.,False
2025-03-04 21:31:34,211.74,51,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",3,153,False,True,2025-03-04 21:31:39,0.85,DEV-323,card,2025-03-04 21:31:36,unsure,Score teach expect cell information really better.,False
2025-02-18 09:33:33,325.75,40,Male,"06285 David Tunnel
South Crystal, WY 51579",5,55,False,True,2025-02-18 09:33:38,0.77,DEV-318,gcash,2025-02-18 09:33:35,branded,Team land create after north watch dog evidence.,True
2025-05-22 18:12:02,284.18,19,Other,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",1,239,True,True,2025-05-22 18:12:07,0.89,DEV-420,gcash,2025-05-22 18:12:05,unsure,Tough there glass age someone military.,True
2025-02-03 18:39:44,205.93,59,Male,"143 Cuevas Trail
North Teresa, SC 24246",3,274,True,True,2025-02-03 18:39:49,0.88,DEV-370,cash,2025-02-03 18:39:59,unsure,Instead likely would laugh to suffer your cost.,True
2025-06-03 06:49:13,289.25,34,Female,"11557 Christopher Branch Apt. 678
Elizabethside, IA 03535",1,270,False,True,2025-06-03 06:49:18,0.78,DEV-425,gcash,2025-06-03 06:50:13,unbranded,Rise suffer identify thousand ahead reduce writer.,True
2025-04-21 03:01:18,366.76,29,Male,"143 Cuevas Trail
North Teresa, SC 24246",1,262,True,True,2025-04-21 03:01:23,0.74,DEV-949,gcash,2025-04-21 03:01:40,unbranded,Break rise group protect star.,True
2025-03-25 21:03:38,482.35,18,Female,"37188 Anthony Crossroad
North Kristen, WV 80462",4,189,False,True,2025-03-25 21:03:43,0.78,DEV-201,cash,2025-03-25 21:04:31,branded,General scientist raise quite.,True
2025-06-17 20:37:43,170.16,36,Male,"9169 Crystal Haven Apt. 578
Thomasbury, MI 40566",4,221,True,True,2025-06-17 20:37:48,0.74,DEV-956,cash,2025-06-17 20:38:34,unsure,Size produce cost glass.,True
