id,created_at,store_id,brand_id,category,amount
4b0fc35f,2025-06-06T15:36:00,6,29,Frozen,115.61
e198bd08,2025-05-23T21:33:00,4,5,Dairy,10.15
79559ca7,2025-06-20T18:03:00,4,38,Snacks,6.76
8eb9c808,2025-06-27T18:39:00,1,15,Beverages,226.83
19f2dac0,2025-05-31T09:49:00,2,33,Snacks,73.23
d45f778b,2025-06-14T12:24:00,4,35,Snacks,182.22
35f0d1bc,2025-06-22T07:27:00,10,31,Snacks,197.23
ce156c06,2025-06-07T09:14:00,4,7,Beverages,166.45
3bca6fab,2025-06-02T13:58:00,7,27,Bakery,216.64
adb60bb7,2025-05-06T06:20:00,2,4,Bakery,183.41
6ec8e324,2025-05-11T06:42:00,4,13,Snacks,136.39
29e7d1b8,2025-05-14T02:13:00,7,12,Dairy,118.34
40f866dc,2025-05-08T04:40:00,8,36,Beverages,17.39
1493d355,2025-06-19T12:55:00,1,6,Snacks,45.75
1af4e0d0,2025-06-14T12:53:00,8,14,Bakery,226.1
4cfabaa7,2025-05-16T07:39:00,7,1,Bakery,69.97
6c419490,2025-06-11T17:58:00,5,28,Frozen,167.16
e313dab0,2025-06-14T15:08:00,3,13,Dairy,58.34
96786e3c,2025-05-06T15:45:00,10,48,Frozen,19.93
29a24dab,2025-05-29T21:04:00,1,4,Frozen,121.81
7dc5cdd7,2025-06-18T16:15:00,3,4,Frozen,24.63
f1ade5c7,2025-05-18T05:56:00,2,39,Beverages,170.43
8902bae5,2025-05-22T17:48:00,7,8,Frozen,65.32
0c6d1807,2025-06-24T10:44:00,1,40,Beverages,107.71
589fda3a,2025-06-23T11:03:00,10,34,Dairy,234.0
507c5b38,2025-05-19T22:12:00,6,16,Dairy,101.97
9963c435,2025-06-29T02:07:00,5,30,Dairy,232.61
3a7a6786,2025-05-07T22:28:00,1,30,Frozen,249.62
52489e37,2025-05-10T10:24:00,2,35,Snacks,128.94
14414bc5,2025-05-13T09:21:00,6,5,Snacks,95.53
2616d75e,2025-05-15T16:36:00,8,35,Dairy,154.86
19187632,2025-06-29T20:37:00,9,1,Frozen,78.35
34ed1bf1,2025-05-10T18:17:00,3,17,Beverages,222.98
dfbb950b,2025-06-20T16:32:00,3,18,Dairy,153.18
fe6ed31c,2025-06-01T13:02:00,4,44,Dairy,128.83
e7350278,2025-05-24T04:34:00,1,6,Bakery,208.19
a650243e,2025-05-05T08:18:00,1,22,Snacks,161.09
b404a685,2025-05-25T04:15:00,3,48,Bakery,140.16
21edc490,2025-06-09T06:17:00,9,1,Beverages,23.43
e0af43bf,2025-05-14T21:36:00,9,3,Dairy,147.71
c44582c0,2025-05-14T19:30:00,7,9,Beverages,80.52
aa280248,2025-05-04T23:09:00,6,14,Snacks,168.4
b88f42b9,2025-06-02T12:37:00,9,27,Frozen,188.62
aca2f16e,2025-05-22T21:09:00,3,12,Bakery,11.07
c7915d1a,2025-05-31T13:40:00,7,43,Snacks,70.37
ce481169,2025-05-11T04:08:00,7,3,Bakery,59.5
1e956a67,2025-06-12T05:32:00,6,20,Snacks,59.62
5ef00075,2025-05-18T21:53:00,7,22,Dairy,216.77
6c9df7ac,2025-05-26T17:45:00,6,42,Frozen,102.92
55f974de,2025-06-19T03:22:00,6,2,Beverages,219.87
f3c3a410,2025-05-25T02:37:00,3,38,Dairy,14.37
81776212,2025-06-24T15:13:00,7,23,Dairy,111.92
bf2fd1ef,2025-06-16T21:13:00,2,25,Frozen,51.57
61485fee,2025-05-05T08:57:00,7,1,Frozen,231.77
190aa8b9,2025-06-19T08:15:00,4,24,Bakery,22.14
58f5a2ca,2025-05-31T09:19:00,10,21,Beverages,181.34
19bfd25c,2025-05-28T16:03:00,9,20,Bakery,84.91
0d0efe4a,2025-05-28T05:52:00,9,9,Snacks,108.01
c5462e7d,2025-06-04T20:15:00,3,40,Frozen,78.73
6f37b103,2025-06-20T04:59:00,1,20,Dairy,56.49
530cfb03,2025-06-23T02:59:00,10,42,Dairy,118.92
6ebda45d,2025-06-10T13:54:00,4,33,Bakery,199.47
b79a9b8c,2025-05-16T18:41:00,2,19,Frozen,167.64
2ce57d33,2025-06-26T16:47:00,6,6,Snacks,169.83
3ee206c0,2025-05-21T18:44:00,4,10,Beverages,16.32
7a7f4ab1,2025-06-13T13:57:00,10,50,Beverages,116.58
63fc5981,2025-06-27T15:44:00,10,13,Bakery,126.12
cc8a5c13,2025-05-23T12:59:00,3,42,Beverages,223.7
9ab8237e,2025-05-11T00:50:00,7,15,Snacks,202.01
2007509a,2025-06-17T11:29:00,8,4,Frozen,66.05
6eef7af3,2025-05-12T09:06:00,8,9,Bakery,168.56
1dd5dee3,2025-06-21T04:59:00,10,21,Bakery,155.1
6a52bbc4,2025-06-16T06:42:00,7,36,Bakery,224.82
45ad5c1f,2025-06-13T12:56:00,8,17,Snacks,210.77
5cb2faa7,2025-05-26T13:47:00,9,32,Snacks,72.28
3f8e0a01,2025-05-08T09:15:00,5,16,Dairy,87.28
95bbf4d1,2025-06-19T11:58:00,2,9,Snacks,61.66
c63334ba,2025-05-15T05:48:00,4,5,Bakery,104.86
976cb07f,2025-06-19T17:21:00,8,27,Beverages,55.67
68119c25,2025-06-08T13:49:00,7,50,Frozen,236.79
bd0840cb,2025-05-03T02:40:00,10,25,Bakery,6.44
cd61de86,2025-06-02T08:25:00,5,49,Bakery,214.09
b0ca771e,2025-06-08T11:21:00,9,48,Frozen,200.97
78ff345a,2025-05-21T09:46:00,8,15,Dairy,111.78
89b17f25,2025-05-03T23:24:00,7,22,Bakery,182.42
c8e8b8fd,2025-06-12T21:01:00,3,40,Frozen,11.61
27158291,2025-06-06T04:45:00,10,37,Beverages,25.57
36884153,2025-06-09T08:19:00,3,30,Snacks,17.32
e6e104b1,2025-06-04T20:09:00,6,14,Bakery,85.08
8b580d48,2025-06-04T20:12:00,5,49,Bakery,66.81
c5e5c774,2025-05-08T18:55:00,8,2,Frozen,17.76
f25abfd4,2025-06-02T04:30:00,4,42,Beverages,196.4
75da0720,2025-06-29T15:46:00,1,49,Beverages,237.65
6039ec94,2025-05-19T11:30:00,1,40,Snacks,63.44
692f985f,2025-06-13T10:30:00,2,37,Snacks,118.93
688229e2,2025-05-24T15:46:00,6,11,Frozen,153.78
782b6426,2025-05-11T18:12:00,3,20,Beverages,146.78
03de0323,2025-05-29T17:28:00,10,44,Bakery,102.18
1caa4dcc,2025-05-19T09:15:00,2,38,Snacks,29.97
1913453a,2025-05-28T18:49:00,10,8,Frozen,196.75
99b3f00d,2025-06-01T22:28:00,9,28,Dairy,21.89
538bfbe5,2025-06-29T06:34:00,6,1,Bakery,206.47
9d939eee,2025-05-10T22:33:00,7,24,Bakery,178.29
6fd15126,2025-06-09T23:20:00,3,47,Frozen,241.54
5085eddb,2025-05-25T22:00:00,10,35,Bakery,118.89
0fe69789,2025-06-24T06:16:00,5,21,Snacks,208.53
c40bf9be,2025-05-09T05:19:00,5,29,Snacks,188.87
d6459212,2025-06-22T04:51:00,10,43,Bakery,87.42
74521dea,2025-06-15T07:49:00,6,12,Bakery,56.97
672c4ee1,2025-05-24T20:22:00,6,18,Frozen,176.79
7f94b7c0,2025-05-26T11:31:00,9,1,Frozen,237.28
fbc2e37a,2025-05-09T03:01:00,4,47,Bakery,124.7
3e2b24d5,2025-05-23T04:59:00,8,42,Bakery,114.8
7afd92a1,2025-05-02T21:40:00,2,19,Snacks,104.08
63050725,2025-05-23T11:30:00,5,43,Frozen,95.41
785d46b4,2025-06-20T17:04:00,9,23,Bakery,249.17
52e6c271,2025-06-20T10:20:00,6,23,Bakery,71.37
9dd95c8a,2025-05-24T05:11:00,4,8,Snacks,82.31
e98b751d,2025-06-19T02:36:00,3,13,Snacks,185.96
6d0da147,2025-05-26T12:01:00,10,49,Frozen,151.21
99af0083,2025-05-10T11:36:00,4,19,Snacks,93.42
e2ea3431,2025-05-28T20:18:00,1,46,Frozen,36.01
44bed0c5,2025-05-05T11:25:00,1,36,Dairy,175.87
b34e57cd,2025-05-12T19:51:00,8,7,Beverages,145.65
40197e4a,2025-06-13T01:24:00,8,29,Dairy,50.17
7a5fe976,2025-05-06T00:14:00,5,31,Beverages,206.42
dcc9c5a6,2025-06-06T19:21:00,8,5,Frozen,159.21
cdd13740,2025-05-06T05:06:00,3,10,Frozen,237.54
219373ea,2025-05-09T02:04:00,4,8,Frozen,192.29
debddd30,2025-06-25T12:31:00,10,40,Snacks,195.04
2f167b36,2025-06-04T22:56:00,8,29,Dairy,215.74
99c60959,2025-06-09T08:47:00,5,37,Frozen,19.76
5de0833b,2025-05-10T08:46:00,4,41,Snacks,69.84
e5f3715e,2025-05-08T17:21:00,3,16,Snacks,140.24
92e93c98,2025-05-15T13:57:00,1,27,Bakery,173.9
abd754e4,2025-06-13T02:32:00,5,3,Snacks,75.59
ecd6514d,2025-05-27T01:36:00,8,5,Snacks,231.36
f3fc64b3,2025-06-27T05:27:00,10,43,Snacks,109.16
e9a96cfb,2025-06-19T21:36:00,4,42,Snacks,227.56
e51586ac,2025-05-14T06:43:00,2,4,Snacks,199.19
4a4ab48b,2025-06-24T11:53:00,10,19,Bakery,35.47
1037a390,2025-05-29T00:17:00,7,18,Frozen,137.3
4e63c362,2025-06-10T04:17:00,2,39,Beverages,222.91
89faadb1,2025-05-30T16:07:00,10,17,Beverages,27.38
975fcae2,2025-06-22T16:32:00,10,2,Dairy,146.18
2e957a8a,2025-05-17T06:42:00,8,34,Bakery,229.44
e6e304d2,2025-05-17T20:28:00,10,28,Bakery,242.42
65de9b04,2025-06-13T02:45:00,6,27,Dairy,83.66
554db2e8,2025-05-10T20:30:00,3,22,Bakery,174.95
7958342c,2025-05-27T13:37:00,7,49,Frozen,13.99
0f5d45dc,2025-05-09T08:22:00,6,17,Dairy,33.4
ae2e5a03,2025-06-07T02:56:00,9,1,Frozen,118.18
0d6b4404,2025-05-06T06:24:00,4,34,Dairy,157.55
c325b578,2025-06-15T16:58:00,8,49,Beverages,54.87
9b80ed6b,2025-06-20T07:47:00,3,19,Bakery,220.81
0d317a5a,2025-06-14T10:52:00,2,2,Frozen,200.83
a07c5910,2025-05-15T17:58:00,5,36,Beverages,140.3
7dcebf03,2025-05-09T19:37:00,4,8,Bakery,237.03
f13077b0,2025-06-29T06:56:00,3,32,Dairy,129.67
2a2d15a8,2025-05-26T05:18:00,7,31,Bakery,64.71
2a5aa1cd,2025-06-20T12:15:00,3,25,Snacks,230.86
b4a6a586,2025-06-16T14:16:00,3,5,Dairy,194.31
5f975c0e,2025-06-08T02:27:00,6,33,Dairy,206.03
6b7b525a,2025-05-27T01:52:00,5,38,Frozen,249.73
e5f52bec,2025-06-14T21:38:00,3,29,Frozen,123.66
fe8d1df1,2025-05-31T14:13:00,9,49,Frozen,97.42
5d8f07f1,2025-05-30T14:56:00,4,45,Snacks,145.09
3d91a24e,2025-05-22T14:13:00,7,3,Dairy,187.45
41dcfcf2,2025-06-05T00:48:00,7,43,Snacks,126.36
f7afd8d4,2025-05-04T16:52:00,3,33,Frozen,86.34
15dc16b1,2025-05-10T11:14:00,8,7,Frozen,228.06
2d2ebeb5,2025-05-02T17:31:00,3,27,Snacks,23.33
86902ec6,2025-05-25T10:57:00,6,40,Bakery,164.21
8320b32b,2025-05-31T05:45:00,9,25,Dairy,158.57
4761cebf,2025-06-14T17:56:00,9,3,Frozen,21.76
6991d637,2025-06-27T18:47:00,5,15,Beverages,111.32
9091a65a,2025-05-10T07:03:00,2,29,Snacks,175.03
bf1b960d,2025-05-03T23:14:00,1,21,Beverages,76.88
66067ca9,2025-06-04T10:51:00,7,10,Snacks,135.14
17927428,2025-06-21T20:17:00,3,11,Snacks,24.35
a84f21b6,2025-06-05T03:40:00,10,44,Snacks,126.93
5a69b262,2025-06-23T09:55:00,3,15,Bakery,161.29
5524bdd2,2025-06-12T03:56:00,5,43,Beverages,225.23
d2f5f1ed,2025-06-12T16:21:00,5,44,Frozen,43.7
d6a96cec,2025-06-10T12:58:00,6,38,Dairy,161.54
1a343e94,2025-06-08T22:55:00,5,30,Dairy,53.81
485c73bb,2025-06-05T08:22:00,8,7,Snacks,98.43
df926a4a,2025-06-03T00:09:00,10,19,Dairy,10.38
bcf89827,2025-06-30T05:55:00,7,18,Beverages,143.65
5c9fe804,2025-05-05T19:08:00,10,48,Bakery,209.05
ce84c6ec,2025-05-27T09:12:00,4,39,Dairy,58.66
36fc14ff,2025-05-18T15:20:00,10,17,Snacks,158.92
ddb12dc9,2025-06-27T10:42:00,1,20,Bakery,13.17
3f28b3e3,2025-06-03T13:03:00,3,6,Dairy,85.05
4d27ab37,2025-06-08T03:40:00,3,13,Snacks,197.7
faed05a3,2025-06-03T15:13:00,9,33,Dairy,208.47
3fadc2ed,2025-05-24T17:21:00,8,19,Dairy,202.04
d921ea0f,2025-06-12T23:05:00,2,10,Snacks,215.73
28e95025,2025-06-06T12:09:00,9,24,Beverages,198.72
328bd18f,2025-05-02T14:24:00,5,35,Beverages,116.42
869e5e34,2025-05-25T04:42:00,10,25,Dairy,31.54
4271596d,2025-05-22T14:47:00,8,2,Frozen,221.64
62b58377,2025-06-21T10:24:00,6,40,Snacks,163.67
00fb3387,2025-06-28T04:03:00,8,45,Dairy,164.06
ecd9d73a,2025-05-11T22:52:00,3,3,Beverages,79.57
91c47a36,2025-06-15T04:09:00,2,7,Snacks,222.38
d3487681,2025-05-13T16:21:00,7,30,Dairy,169.27
0bfc43c3,2025-06-19T12:04:00,7,38,Snacks,221.93
3082c3a2,2025-06-29T22:41:00,2,32,Frozen,104.99
6ef52927,2025-05-26T19:06:00,1,45,Dairy,58.23
643c205c,2025-06-10T19:27:00,4,24,Beverages,245.33
1e9fb91e,2025-06-03T18:27:00,9,42,Dairy,19.83
7030655e,2025-05-26T10:40:00,4,8,Bakery,27.46
c962f7fc,2025-05-20T15:21:00,10,2,Beverages,197.76
6bc1ea40,2025-05-23T12:05:00,3,37,Snacks,21.81
c95c1e77,2025-06-20T18:41:00,4,38,Snacks,204.2
2c100283,2025-05-22T12:59:00,6,50,Snacks,198.22
aa51c912,2025-06-24T13:56:00,1,18,Snacks,246.94
21ee88d4,2025-06-19T12:07:00,5,12,Beverages,166.96
b537b055,2025-05-03T16:19:00,3,1,Dairy,198.55
c5385bed,2025-05-22T23:46:00,10,21,Beverages,47.69
1f0989a8,2025-05-06T02:28:00,3,48,Bakery,133.89
c7401eda,2025-05-07T02:50:00,8,29,Dairy,130.74
d6b8df4f,2025-05-11T06:13:00,8,33,Snacks,236.63
fa57a2a3,2025-05-05T06:43:00,9,20,Bakery,162.62
2d93795f,2025-05-04T04:02:00,1,31,Bakery,109.44
5b58e414,2025-05-11T03:50:00,8,46,Bakery,23.01
3297720d,2025-05-08T16:29:00,6,39,Snacks,21.09
49655321,2025-05-26T08:46:00,10,41,Frozen,139.35
b6068862,2025-05-30T22:22:00,7,39,Frozen,77.25
779a87c4,2025-06-16T08:23:00,10,28,Beverages,199.31
7a4d0f58,2025-05-11T17:56:00,9,47,Snacks,110.37
11398c77,2025-05-22T03:09:00,7,22,Bakery,102.69
33acbe7c,2025-05-09T23:43:00,6,28,Dairy,167.95
d6e39e4c,2025-06-04T09:40:00,3,44,Bakery,21.45
df191e5a,2025-05-09T02:28:00,2,28,Beverages,187.42
de3c66f1,2025-06-04T06:03:00,3,36,Beverages,148.68
e2a0a6e7,2025-06-21T10:48:00,9,22,Beverages,105.65
fc57361f,2025-06-08T19:55:00,1,19,Frozen,81.55
630c06c9,2025-05-10T18:19:00,10,33,Snacks,42.91
4b92f027,2025-06-14T05:21:00,4,7,Dairy,212.12
3ecdb07d,2025-06-03T18:56:00,2,49,Dairy,145.65
6f7d25d6,2025-06-09T09:24:00,9,50,Frozen,155.33
f0f2f4bb,2025-06-28T19:59:00,9,2,Frozen,232.63
3c8c6397,2025-05-25T16:14:00,1,12,Dairy,177.16
5221c008,2025-05-29T10:59:00,6,23,Beverages,49.44
006f47e1,2025-05-14T08:56:00,10,43,Bakery,22.05
c2171e2e,2025-06-27T23:11:00,1,6,Frozen,57.71
2748c4d3,2025-06-08T13:08:00,8,22,Snacks,95.66
d64807ae,2025-05-30T20:37:00,10,39,Beverages,221.42
fcb6dfb0,2025-05-15T11:52:00,3,49,Frozen,17.19
f5770f24,2025-05-08T18:13:00,5,29,Bakery,123.99
9a325624,2025-06-10T13:39:00,7,18,Snacks,189.96
230178e8,2025-05-11T16:38:00,6,28,Beverages,74.4
3ae9dec3,2025-06-24T07:43:00,8,34,Dairy,16.13
04dd7433,2025-06-06T07:27:00,10,4,Beverages,55.08
ccf7dd18,2025-05-20T13:26:00,3,49,Dairy,75.91
fff714c4,2025-05-12T06:06:00,1,32,Bakery,48.05
59a6100a,2025-06-04T22:34:00,9,46,Snacks,127.56
b51b5013,2025-06-02T13:41:00,2,26,Beverages,111.87
7297ae51,2025-06-12T04:20:00,2,21,Frozen,110.17
3f1de83f,2025-06-07T03:28:00,7,19,Beverages,104.23
b6e4af31,2025-05-30T21:28:00,3,40,Bakery,208.85
248b641a,2025-06-03T06:28:00,2,28,Beverages,64.61
82167981,2025-06-23T22:24:00,7,34,Beverages,101.96
1b94668c,2025-05-29T13:48:00,6,15,Dairy,195.88
4c0da16b,2025-05-08T06:51:00,9,41,Beverages,135.0
82624d34,2025-05-18T23:35:00,6,23,Snacks,62.89
11600dc0,2025-05-14T15:54:00,5,13,Snacks,152.59
c5d87a2d,2025-06-29T23:58:00,2,12,Bakery,118.67
ab500bfb,2025-06-21T15:29:00,10,29,Frozen,162.53
2d107d64,2025-06-27T04:17:00,6,41,Dairy,41.98
35e17a8a,2025-05-07T13:10:00,8,29,Dairy,200.1
1a961015,2025-06-24T03:58:00,1,23,Frozen,23.18
42ce6ef8,2025-06-12T08:41:00,8,3,Beverages,95.34
77ba3de2,2025-05-27T11:07:00,2,42,Beverages,155.68
4ea3bed4,2025-06-16T11:42:00,7,30,Frozen,140.81
22dd14bd,2025-05-05T01:36:00,8,37,Snacks,83.77
22c2a90d,2025-06-13T15:01:00,9,10,Beverages,115.38
98993b46,2025-06-01T14:15:00,2,33,Snacks,14.59
fb4b03b9,2025-06-10T04:17:00,8,34,Frozen,154.4
1125d18b,2025-06-03T10:56:00,6,19,Bakery,105.15
3a26ec99,2025-06-01T03:10:00,10,4,Dairy,21.15
6a491619,2025-05-09T22:27:00,9,44,Bakery,74.62
88bdfbef,2025-06-30T02:17:00,10,10,Dairy,24.97
04a21bc2,2025-05-14T04:57:00,6,20,Bakery,36.59
6d34138f,2025-05-09T01:04:00,5,36,Bakery,162.66
1b324829,2025-05-31T05:34:00,3,43,Frozen,27.9
6ff6aedc,2025-06-08T20:56:00,9,24,Beverages,93.84
a28d6baa,2025-05-17T17:47:00,4,22,Bakery,52.04
7e5bd82f,2025-05-13T20:30:00,3,5,Dairy,211.88
ef7ed251,2025-05-10T12:56:00,9,50,Frozen,209.6
a3d63bc5,2025-06-18T06:13:00,1,43,Dairy,219.72
de270a37,2025-06-26T14:06:00,3,39,Bakery,42.79
4a7fd762,2025-05-17T19:03:00,10,11,Bakery,15.7
6bb71d26,2025-06-03T11:49:00,4,29,Frozen,74.81
f278d831,2025-06-11T04:41:00,4,35,Snacks,80.82
596d1fc8,2025-06-13T00:34:00,4,24,Frozen,246.19
b307d269,2025-06-12T08:33:00,5,50,Bakery,128.21
0080029a,2025-06-08T10:34:00,3,13,Frozen,38.91
c781e3b0,2025-05-24T02:08:00,1,42,Bakery,219.16
b2e81022,2025-06-20T19:24:00,2,46,Frozen,213.54
2083817e,2025-05-27T06:43:00,2,49,Snacks,71.83
a582136c,2025-06-17T01:26:00,3,28,Beverages,236.87
057f429d,2025-05-21T13:02:00,8,23,Beverages,106.65
bcd0444b,2025-06-06T10:04:00,9,24,Snacks,99.61
bd693e1a,2025-05-08T18:16:00,6,15,Beverages,83.08
e29d14b3,2025-05-10T08:27:00,6,10,Snacks,14.38
3f28728d,2025-06-13T08:05:00,3,49,Bakery,114.91
ca2a179d,2025-05-01T19:28:00,2,2,Dairy,57.84
431ea7d3,2025-05-14T22:37:00,9,47,Frozen,134.3
b1633e37,2025-05-11T10:53:00,5,16,Dairy,34.85
853266c4,2025-05-23T00:52:00,7,41,Frozen,116.99
ca6ac70b,2025-05-11T10:10:00,8,39,Frozen,9.03
81597041,2025-06-17T05:51:00,10,16,Snacks,76.36
1ec5df6f,2025-05-01T11:25:00,10,23,Snacks,144.81
6b949d36,2025-05-18T09:11:00,2,34,Dairy,21.58
9f55c9cf,2025-06-18T05:11:00,9,33,Frozen,140.77
c533d25d,2025-06-05T20:57:00,8,3,Bakery,245.35
fb4c49b0,2025-05-24T10:06:00,1,23,Beverages,89.48
f441e801,2025-06-30T03:27:00,2,50,Frozen,185.12
a1ebfc7a,2025-05-31T14:23:00,3,3,Dairy,138.77
b310a901,2025-06-28T20:12:00,3,50,Bakery,245.3
5911e30b,2025-06-13T21:22:00,3,9,Beverages,180.43
95ebb3d6,2025-06-11T23:48:00,1,19,Snacks,15.73
9b64cd4f,2025-05-19T11:44:00,1,21,Dairy,131.27
81e658ff,2025-06-19T18:16:00,8,17,Beverages,189.56
281fa672,2025-05-18T17:28:00,5,23,Beverages,217.12
023d19b4,2025-05-31T13:06:00,5,8,Dairy,112.05
47d557df,2025-06-06T17:51:00,8,25,Dairy,243.56
411934d4,2025-06-15T11:58:00,8,24,Frozen,70.35
6836f751,2025-05-08T20:28:00,7,6,Bakery,152.6
a307a6ce,2025-05-17T18:12:00,9,19,Dairy,30.14
facb9af1,2025-05-31T04:21:00,5,20,Bakery,152.64
e5fedef5,2025-06-09T02:51:00,3,45,Bakery,91.13
c412cede,2025-05-05T04:31:00,6,40,Bakery,72.27
54e9a435,2025-05-06T13:18:00,2,43,Bakery,94.01
77362abf,2025-05-15T21:29:00,1,10,Frozen,171.13
6e2d2505,2025-06-10T05:12:00,1,9,Beverages,62.82
855a3d71,2025-06-29T01:22:00,6,24,Bakery,237.62
1cded97f,2025-05-04T06:44:00,10,10,Bakery,237.46
7e1bfdee,2025-06-04T04:40:00,8,49,Beverages,145.61
d6ce1469,2025-06-18T12:37:00,6,26,Dairy,164.14
87080b44,2025-05-24T01:17:00,2,2,Snacks,127.27
ab15aa6a,2025-06-05T13:23:00,9,8,Dairy,194.87
a1cbc36b,2025-06-10T22:53:00,4,40,Dairy,175.03
f01e534c,2025-06-15T01:02:00,4,8,Snacks,213.94
8d6c30c7,2025-06-11T11:30:00,3,46,Bakery,249.33
488ba28b,2025-05-30T10:09:00,6,46,Beverages,139.75
b1785425,2025-05-27T18:18:00,5,11,Snacks,199.46
011298dd,2025-06-16T15:23:00,4,8,Snacks,199.06
7a8e8433,2025-05-22T21:09:00,8,2,Dairy,140.74
356b6402,2025-06-03T21:53:00,8,36,Snacks,154.93
d1b4cf4e,2025-05-09T04:20:00,2,20,Bakery,249.9
55e4fac0,2025-06-13T21:39:00,9,27,Bakery,206.72
58fd2a9c,2025-05-08T01:06:00,3,21,Beverages,115.24
79085cb6,2025-06-17T10:11:00,6,9,Frozen,161.75
ddff59ba,2025-05-17T21:30:00,3,28,Frozen,228.12
90c90640,2025-05-06T09:03:00,2,34,Snacks,79.51
b85cfd83,2025-05-16T01:49:00,6,46,Snacks,89.78
4b2afb51,2025-06-17T13:32:00,5,6,Dairy,53.09
6d74f666,2025-06-20T11:19:00,5,9,Dairy,155.53
470566aa,2025-05-09T20:05:00,9,42,Snacks,149.99
1c2a3808,2025-06-23T04:26:00,3,11,Frozen,181.56
c35806d2,2025-06-25T09:56:00,6,37,Beverages,207.18
61f63ef7,2025-05-03T21:58:00,2,3,Frozen,69.84
c8dc7cf3,2025-05-20T12:31:00,10,27,Frozen,161.55
8b819a42,2025-06-15T15:58:00,9,19,Dairy,123.32
3e26276a,2025-06-07T07:07:00,5,30,Beverages,173.71
e7f936f8,2025-05-15T17:19:00,8,27,Bakery,118.79
96635b56,2025-06-01T07:09:00,10,10,Dairy,216.06
c61142eb,2025-05-30T09:33:00,6,26,Snacks,191.36
927e1280,2025-06-17T04:59:00,9,7,Dairy,64.23
3c9de29a,2025-05-12T11:39:00,5,29,Snacks,39.52
1f7f687b,2025-05-05T22:32:00,5,25,Frozen,107.44
b46a808e,2025-05-15T20:52:00,6,37,Dairy,51.51
06177ae9,2025-05-15T20:05:00,8,33,Bakery,127.2
a6f73969,2025-05-29T10:01:00,8,2,Beverages,236.58
f804a3fb,2025-06-16T08:09:00,8,16,Snacks,147.92
53a61ed6,2025-05-05T18:17:00,1,19,Bakery,151.39
e5b61f4b,2025-06-29T21:15:00,8,19,Frozen,7.0
cf842e37,2025-05-11T02:49:00,7,9,Dairy,183.24
a839b37d,2025-06-07T00:55:00,6,3,Bakery,17.53
05433146,2025-06-21T11:18:00,4,24,Frozen,75.71
b4f7b89b,2025-06-05T11:59:00,9,29,Frozen,73.53
ca417362,2025-06-27T01:29:00,10,8,Snacks,243.9
31453da5,2025-06-06T04:29:00,6,22,Frozen,235.04
de6a4a3f,2025-05-14T11:09:00,4,39,Frozen,103.34
7b2129a9,2025-05-04T23:56:00,1,3,Snacks,179.83
d67ac939,2025-06-13T10:54:00,9,30,Snacks,153.53
a1f92083,2025-06-17T06:08:00,3,21,Frozen,83.04
